tfidf_weight,semantic_weight,hit@3,precision@3,precision@5,recall@10,mrr
0.0,1.0,0.44,0.18,0.14400000000000002,0.5716666666666667,0.38644913419913424
0.1,0.9,0.52,0.21333333333333332,0.14800000000000002,0.6216666666666666,0.44189682539682534
0.2,0.8,0.56,0.22666666666666668,0.16399999999999998,0.6783333333333332,0.49181024531024525
0.30000000000000004,0.7,0.7,0.2733333333333333,0.18799999999999997,0.7183333333333333,0.5462950937950938
0.4,0.6,0.7,0.28,0.19599999999999995,0.765,0.6131991341991342
0.5,0.5,0.72,0.2866666666666667,0.19999999999999996,0.8116666666666665,0.6236435786435786
0.6000000000000001,0.3999999999999999,0.74,0.29333333333333333,0.23199999999999996,0.835,0.613883541295306
0.7000000000000001,0.29999999999999993,0.78,0.30666666666666664,0.22799999999999998,0.845,0.6355764411027569
0.8,0.19999999999999996,0.78,0.3,0.22799999999999998,0.825,0.6329523809523809
0.9,0.09999999999999998,0.74,0.2866666666666667,0.20399999999999996,0.815,0.6092777777777777
1.0,0.0,0.74,0.2866666666666666,0.19199999999999995,0.73,0.6109134199134199
